Player▼,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK
Onel Hernández,"FW,MF",Norwich City,26,26,14,"1,384",15.4,1,2,1,0
Javier Hernández,FW,West Ham,31,2,1,107,1.2,1,0,1,0
Wayne Hennessey,GK,Crystal Palace,32,3,3,270,3,0,0,0,0
Jeff Hendrick,MF,Burnley,27,24,22,"1,931",21.5,2,2,2,0
Jordan Henderson,MF,Liverpool,29,30,26,"2,238",24.9,4,5,4,0
Dean Henderson,GK,Sheffield Utd,22,36,36,"3,240",36,0,0,0,0
Tom Heaton,GK,Aston Villa,33,20,20,"1,794",19.9,0,0,0,0
Isaac Hayden,MF,Newcastle Utd,24,29,26,"2,223",24.7,1,2,1,0
Kortney Hause,DF,Aston Villa,24,18,17,"1,545",17.2,1,0,1,0
Grant Hanley,DF,Norwich City,27,15,14,"1,262",14,0,0,0,0
Sébastien Haller,FW,West Ham,25,32,24,"2,266",25.2,7,1,7,0
Angus Gunn,GK,Southampton,23,10,10,900,10,0,0,0,0
İlkay Gündoğan,MF,Manchester City,28,31,21,"2,020",22.4,2,1,1,1
Frederic Guilbert,DF,Aston Villa,24,25,22,"2,041",22.7,0,2,0,0
Mattéo Guendouzi,MF,Arsenal,20,24,19,"1,748",19.4,0,1,0,0
Vicente Guaita,GK,Crystal Palace,32,35,35,"3,150",35,0,0,0,0
Pascal Groß,"FW,MF",Brighton,28,29,22,"1,796",20,2,4,2,0
Arnaut Groeneveld,MF,Bournemouth,22,14,6,630,7,0,0,0,0
Mason Greenwood,FW,Manchester Utd,17,31,12,"1,320",14.7,10,1,10,0
Jack Grealish,"FW,MF",Aston Villa,23,36,36,"3,233",35.9,8,6,8,0
Demarai Gray,"MF,FW",Leicester City,23,21,3,622,6.9,2,3,2,0
Andre Gray,FW,Watford,28,23,7,755,8.4,2,0,2,0
Dan Gosling,MF,Bournemouth,29,24,14,"1,264",14,3,1,3,0
Anthony Gordon,"MF,FW",Everton,18,11,4,440,4.9,0,1,0,0
Joe Gomez,DF,Liverpool,22,28,22,"2,004",22.3,0,0,0,0
Angel Gomes,MF,Manchester Utd,18,2,0,21,0.2,0,0,0,0
André Gomes,MF,Everton,26,19,17,"1,458",16.2,0,1,0,0
Ben Godfrey,DF,Norwich City,21,30,30,"2,644",29.4,0,0,0,0
Olivier Giroud,FW,Chelsea,32,18,12,993,11,8,0,8,0
Billy Gilmour,MF,Chelsea,18,6,2,194,2.2,0,0,0,0
Morgan Gibbs-White,"MF,FW",Wolves,19,7,1,129,1.4,0,0,0,0
Anwar El Ghazi,"FW,MF",Aston Villa,24,34,26,"2,051",22.8,4,4,3,1
David de Gea,GK,Manchester Utd,28,38,38,"3,420",38,0,0,0,0
Jean-Philippe Gbamin,MF,Everton,23,2,1,136,1.5,0,0,0,0
Paulo Gazzaniga,GK,Tottenham,27,18,17,"1,613",17.9,0,0,0,0
Dwight Gayle,FW,Newcastle Utd,28,20,10,850,9.4,4,2,4,0
James Garner,MF,Manchester Utd,18,1,0,9,0.1,0,0,0,0
Eric García,DF,Manchester City,18,13,8,793,8.8,0,0,0,0
Christian Fuchs,DF,Leicester City,33,11,8,772,8.6,0,0,0,0
Luke Freeman,MF,Sheffield Utd,27,11,3,366,4.1,0,0,0,0
Kieron Freeman,FW,Sheffield Utd,27,2,0,7,0.1,0,0,0,0
Ryan Fredericks,DF,West Ham,26,27,25,"2,237",24.9,0,3,0,0
Fred,MF,Manchester Utd,26,29,23,"2,163",24,0,0,0,0
Ryan Fraser,"MF,FW",Bournemouth,25,28,21,"2,067",23,1,4,1,0
Simon Francis,DF,Bournemouth,34,15,10,969,10.8,0,0,0,0
Juan Foyth,DF,Tottenham,21,4,1,68,0.8,0,0,0,0
Dimitri Foulquier,"DF,MF",Watford,26,3,1,59,0.7,0,0,0,0
Timothy Fosu-Mensah,DF,Manchester Utd,21,3,2,136,1.5,0,0,0,0
Ben Foster,GK,Watford,36,38,38,"3,420",38,0,0,0,0
Pablo Fornals,"MF,FW",West Ham,23,36,24,"2,172",24.1,2,5,2,0
Phil Foden,"FW,MF",Manchester City,19,23,9,901,10,5,2,5,0
John Fleck,MF,Sheffield Utd,27,30,28,"2,516",28,5,2,5,0
Roberto Firmino,FW,Liverpool,27,38,34,"2,988",33.2,9,8,9,0
Fernandinho,DF,Manchester City,34,30,26,"2,397",26.6,0,1,0,0
Federico Fernández,DF,Newcastle Utd,30,32,29,"2,620",29.1,2,2,2,0
Gedson Fernandes,"MF,DF",Tottenham,20,7,0,68,0.8,0,0,0,0
Bruno Fernandes,MF,Manchester Utd,24,14,14,"1,186",13.2,8,7,4,4
Kiko Femenía,DF,Watford,28,28,26,"2,237",24.9,0,0,0,0
Akin Famewo,MF,Norwich City,20,1,0,1,0,0,0,0,0
Ralf Fährmann,GK,Norwich City,30,1,1,21,0.2,0,0,0,0
Fabinho,MF,Liverpool,25,28,22,"2,079",23.1,2,3,2,0
Łukasz Fabiański,GK,West Ham,34,25,25,"2,117",23.5,0,0,0,0
Jonny Evans,DF,Leicester City,31,38,38,"3,383",37.6,1,1,1,0
Christian Eriksen,"MF,FW",Tottenham,27,20,10,"1,097",12.2,2,2,2,0
Björn Engels,DF,Aston Villa,24,17,15,"1,447",16.1,1,0,1,0
Ahmed Elmohamady,DF,Aston Villa,31,18,11,"1,031",11.5,1,1,1,0
Harvey Elliott,DF,Liverpool,16,2,0,8,0.1,0,0,0,0
